"Date","Time","R_or_D","screen_name","text","hashtags"
"4/1/14",00:37:14,"R","JohnBoozman","Good questions from Arkansans. Talking about #VAbacklog and the need to get veterans their benefits #listeningtoAR http://t.co/Kg2I3eDUVi","VAbacklog listeningtoAR"
"4/1/14",00:24:08,"R","JohnBoozman","Talking  ENFORCE the Law Act 
&amp; protecting the Constitution &amp; stopping presidential #overreach on our tele-town hall http://t.co/az9N3knhY7","overreach"
"4/1/14",00:10:46,"R","JohnBoozman","We're conducting a telephone town hall right now. You can listen here http://t.co/az9N3knhY7 #listeningtoAR","listeningtoAR"
"2/18/14",16:36:27,"R","JohnBoozman","Stopped by Baptist Health Medical Center in Arkadelphia this morning to talk healthcare issues. http://t.co/ajAUPfVhxW",
"2/18/14",14:25:53,"R","JohnBoozman","Appreciate the tour of Jefferson Regional Medical Center yesterday. Back at it with meetings in Arkadelphia today http://t.co/8qgnAgC57N",
"7/24/13",22:44:02,"R","JohnBoozman","Pleased to have voted for commonsense #studentloan agreement. It's longterm solution the interest rate problem needs http://t.co/hRwKz67oxF","studentloan"
"7/24/13",21:49:09,"R","JohnBoozman","We'll be talking with @alicetweet tomorrow at 7:30 a.m. CT. You can listen to the conversation on http://t.co/a3IFr5J4mM",
"7/24/13",21:19:11,"R","JohnBoozman","We were busy in the VA Committee today improving our services to veterans. http://t.co/kiGFMFgulH",
"7/24/13",16:33:22,"R","JohnBoozman","Mayflower oil spill victims shouldn’t be required to pay taxes on disaster relief assistance from ExxonMobil. http://t.co/QVKGXGjFua",
"4/19/13",21:04:35,"R","JohnBoozman","Here's a recap of some of the things we worked on this week in Washingotn. http://t.co/7tU3dz5Rp4",
"4/19/13",18:32:38,"R","JohnBoozman","April is Financial Literacy Month and we are working to empower all Americans to take control of their finances. http://t.co/c1pxj7AcJE",
"12/12/12",22:31:41,"R","JohnBoozman","@senmarkpryor and I are working to protect Arkansas's farmers and sportsmen from burdensome regulations http://t.co/9MWd2Bed",
"9/25/12",22:16:31,"R","JohnBoozman","My staff joined the Baxter Regional Medical Center's 3D mobile mammography van at the US Capitol today. http://t.co/8cG4dTQY",
"9/21/16",20:48:03,"R","JeffFlake","After unaimous passage through Congress, I hope  @POTUS will sign the #ENDWildlifeTrafficking Act I intro'd w/ @ChrisCoons","ENDWildlifeTrafficking"
