"Date","Time","R_or_D","screen_name","text","Before_or_After","hashtags","Nominate_dim1","total_victims","Before_or_After_Shooting","case","race","mentions_terror","Shooting_related_terrorism"
"11/28/15",20:24:05,"D","RepLawrence","Tell @TheJusticeDept to #InvestigateClinicViolence as domestic terrorism. Sign now: https://t.co/FVjlfANQ9Y","After","InvestigateClinicViolence",-0.437,,"After","Inside","White",1,1
"11/30/15",06:00:00,"D","SenatorReid","In wake of domestic terrorist act, I commend @PPFA for refusing to allow threats and violence to stand in the way of its important work.","Before",,-0.276,,"Before","Inside","White",1,1
"11/30/15",06:00:00,"R","SenDanCoats","I spoke with @wolfblitzer about reports that a Paris terror attack suspect may be in Syria https://t.co/bM0zwDG92n",,,,,"Before","France Attacks",,1,0
"11/30/15",06:00:00,"R","SenDanCoats","I spoke with @wolfblitzer on @CNN about new terrorist threats https://t.co/yO1muYF5wA",,,,,"Before","France Attacks",,1,0
"11/30/15",13:21:46,"R","RepMikeRogers","Fighting ISIS is no longer about Syria and Iraq, it's about preventing terrorism around the world. #STTA https://t.co/pwhfY1FtUh","Before","STTA",0.4,,"Before","General-Islamic",,1,0
"11/30/15",15:16:33,"D","BradSherman","I was on @MSNBC discussing #terrorism, #Russia, #Turkey, #SyrianRefugees, and combating #ISIS https://t.co/OAjqHEFdJ7","Before","terrorism Russia Turkey SyrianRefugees ISIS",-0.341,,"Before","General-Islamic",,1,0
"11/30/15",16:19:05,"R","MicheleBachmann","Bringing terrorists 'out of the shadows?'
https://t.co/u2b0weVsvr","Before",,0.584,,"Before","General",,1,0
"11/30/15",16:51:35,"R","JudgeTedPoe","Today's Terrorism Update: 
The U.S. embassy in Kabul warned today of an imminent attack in the Afghan capital,... https://t.co/Ho7KUlO6R0","Before",,0.594,,"Before","General-Islamic",,1,0
"11/30/15",18:53:40,"R","RepHolding","Iran continues to promote terror throughout the world – and according to the New York Times, more aggressively... https://t.co/E0aW5UdCKR",,,,,"Before","General-Iran",,1,0
"11/30/15",19:32:39,"R","MikeKellyPA","Pres. Obama says #ParisClimateConference will be a ""powerful rebuke"" to #ISIS terrorists. A more powerful rebuke? Deadly American-led force.","Before","ParisClimateConference ISIS",0.318,,"Before","General-Islamic",,1,0
"11/30/15",20:51:37,"D","RepGwenMoore","Thanks to the abortion providers/clinic staff who serve their communities despite personal threats/acts of terrorism https://t.co/dMmz7SMSIv","Before",,-0.53,,"Before","General","White",1,0
"11/30/15",23:10:26,"R","RepChrisStewart","I'll be on @cspan tomorrow morning discussing terrorism at 7:45-8:30am ET. Make sure to watch &amp; call in w/ yours questions! #utpol @cspanwj","Before","utpol",0.518,,"Before","General",,1,0
"12/12/12",19:03:37,"R","VernBuchanan","American tax dollars must not be used to aid and abet any dictatorial regime that stands with terrorists! #NoAid2Egypt http://t.co/EtaNnVrT","Before","NoAid2Egypt",0.36,,"Before","General-Islamic",,1,0
"12/2/15",15:34:21,"D","RepLawrence","When will @HouseGOP close the loophole that allows suspected #terrorists to legally buy guns in the U.S.? https://t.co/iiViA3RdII","After","terrorists",-0.437,35,"After","Inside","Other",1,1
"12/2/15",15:35:57,"R","CongressmanGT","Attended task force on Combatting Terrorist and Foreign Fighter Travel briefing this AM.  #Safety #Security","After","Safety Security",0.307,35,"After","Inside","Other",1,1
"12/2/15",18:34:30,"D","RepPerlmutter","People on the FBI’s Terrorist Watchlist shouldn’t be able to buy guns &amp; explosives- that’s why I’m supporting #HR1076.",,,,,"After","Inside","Other",1,1
"12/2/15",18:46:37,"D","RepSteveIsrael","Must read of the day: @HouseGOP blocks House debate on bill to stop suspected terrorists from buying guns → https://t.co/3lXblszSUG",,,,,"After","General",,1,0
"12/2/15",19:56:26,"D","RepSteveIsrael","2nd day in row @HouseGOP blocks vote on bipartisan bill 2 prevent suspected terrorists from buying guns- playing politics w Americans safety","After",,-0.334,35,"After","General",,1,0
"12/3/15",01:56:29,"D","AGBecerra","It’s time to end these senseless acts of #gunviolence terrorizing our children and families #SanBernardino #ColoradoSpringsShooting",,,,,"After","Inside","Other",1,1
"12/3/15",06:00:00,"D","SenatorReid","If a suspected terrorist is trying to purchase a gun, the Republican response is ""maybe."" Our response is ""no!"" https://t.co/6hywgbgTKF",,,,,"After","General",,1,0
"12/3/15",06:00:00,"D","SenatorReid","Republicans are offering an alternative amendment that doesn't keep terrorists from getting guns. https://t.co/lyNMN0ItwL",,,,,"After","General",,1,0
"12/3/15",06:00:00,"D","SenJackReed","We face threats from terrorists &amp; mass-shootings. GOP should agree on need to prevent terrorist suspects on no-fly list from buying guns.",,,,,"After","General",,1,0
"12/3/15",13:10:33,"R","Robert_Aderholt","Contortions morning media going thru to shift #SanBernadinoShooting from suspected lone-wolf terrorism to gun control is astounding @msnbc","After","SanBernadinoShooting",0.361,,"After","Inside","Other",1,1
"12/3/15",14:29:35,"R","MikeKellyPA","Everyone in #SanBernadino continues to be in my deepest prayers. Please keep praying for the victims and their families. Terror cannot win.","After","SanBernadino",0.318,,"After","Inside","Other",1,1
"12/3/15",14:42:36,"D","RepAdamSchiff","At this point, we can’t rule anything out. We're examining if any links to terror, workplace violence or other motivations. #SanBernardino",,,,,"After","Inside","Other",1,1
"12/3/15",15:26:57,"D","RepLawrence","Will @HouseGOP miss the 3rd opportunity this week to close a loophole that allows those on US #terrorist watch list to legally buy #guns?","After","terrorist guns",-0.437,,"After","General",,1,0
"12/3/15",15:40:42,"D","RepJoeCourtney","Voted for 3rd time this week for bipartisan legislation to close gun loophole for suspects on FBI Terror Watchlist. Blocked by GOP Majority.","After",,-0.344,,"After","General",,1,0
"12/3/15",16:14:47,"D","RepSteveIsrael","3rd day in row @HouseGOP votes to continue allowing suspected terrorists to legally buy #guns that could be used against Americans","After","guns",-0.334,,"After","General",,1,0
"12/3/15",16:19:49,"R","JudgeTedPoe","Today's Terrorism Update: 

British Tornado jets carried out air strikes against Islamic State targets in Syria... https://t.co/vCzITdlNZk","After",,0.594,,"After","General-Islamic",,1,0
"12/3/15",16:29:58,"R","RepChrisCollins","To ensure WNYers safety, I cosponsored H.R. 158, legislation to help prevent terrorists from entering the U.S. via the Visa Waiver Program","After",,0.368,,"After","General-Iran",,1,0
"12/3/15",17:26:36,"D","RepAdamSchiff","FBI is conducting investigation into suspects to determine motive &amp; whether there is any connection to terror or evidence of radicalization.","After",,-0.348,,"After","Inside","Other",1,1
"12/3/15",18:21:30,"D","RepDeSaulnier","Over the last 11 yrs, 2,000+ suspects on the FBI Terrorist Watchlist bought weapons in the U.S. Congress must close this #TerroristLoophole","After","TerroristLoophole",-0.53,,"After","General",,1,0
"12/3/15",20:30:48,"R","MikeKellyPA","Mr. President: Instead of climate control or gun control, we need terror control and serious American leadership for a world out of control.","After",,0.318,,"After","Inside","Other",1,1
"12/3/15",22:15:09,"R","KenCalvert","We will not and cannot let cowards with evil intentions terrorize our communities and our country.","After",,0.349,,"After","Inside","Other",1,1
"12/3/15",22:25:56,"D","RepMarcyKaptur","House Republican Leadership needs to stop blocking a vote to keep guns out of the hands of terrorists. My statement: https://t.co/g5WESXN9sy","After",,-0.35,,"After","General",,1,0
"12/3/15",23:38:45,"D","RepGregoryMeeks","My statement:""Republicans Disallowing Vote on the Denying Firearms and Explosives to Dangerous Terrorists Act"" here: https://t.co/pS9E2O5sja","After",,-0.413,,"After","General",,1,0
"2/18/16",06:00:00,"R","SenatorKirk","Admin released top bin Laden confidant to #Sudan &amp; he rejoined terrorist fight. This is why we must #KeepGitmoOpen https://t.co/4tEJbUGQK9",,,,,"Before","General-Islamic",,1,0
"2/22/12",15:48:24,"R","RepPeteKing","Here's video of my appearance on @WPIX this morning on global terror threats: http://t.co/df3cgiYj","After",,0.26,,"After","General",,1,0
"2/23/16",06:00:00,"R","JimInhofe","Bringing these terrorists from Gitmo to the U.S. will endanger any community that will house them. https://t.co/jlyLcH28U6",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenateMajLdr",".@POTUS would like to detain #Gitmo terrorists in the US despite the fact that it would be illegal under current law to do so. #Guantanamo",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenateMajLdr","Despite @POTUS' plan, moving #Gitmo terrorists to U.S. communities is wrong and illegal. https://t.co/zQUgHVuRw8 https://t.co/uxWo0RxPXn",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenateMajLdr","Who are the #Guantanamo terrorists that @POTUS wants to import to the US? #Gitmo https://t.co/oPPao0FxfP",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenatorBurr","Recently, we learned that one of the former prisoners at #Gitmo is back fighting for Al-Qaeda's terrorist agenda.",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenatorKirk","American taxpayers have spent more than $5b to keep #Gitmo terrorists behind bars and off the battlefield ‚Äì that‚Äôs where they should stay.",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenatorKirk","I join my colleagues @senatortimscott @senpatroberts @sencorygardner in defending #US from accepting #Gitmo terrorists into our backyards",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenCoryGardner","I spoke with @NPR about @POTUS' reckless plan to move #GTMO terrorists to the U.S.: https://t.co/pMoyUjUBzA",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenCoryGardner","Moving #GTMO terrorists to the U.S. is a grave threat to Colorado and our national security: https://t.co/UUy9NgBsRk",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenDanCoats","For years, the facility at Guantanamo Bay has been a valuable tool in our counterterrorism efforts",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenDanCoats","There is strong, bipartisan opposition in Congress to bringing terrorists from Guantanamo to American soil",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","sendavidperdue","Americans will not stand the thought of placing terrorists on U.S. soil. #GITMO https://t.co/KEt7DAPcID https://t.co/YQcVDkPieR",,,,,"Before","General-Iran",,1,0
"2/23/16",06:00:00,"R","SenJohnThune","President Obama is putting American communities at risk with his plan to close #Gitmo &amp; move terrorists stateside. https://t.co/IUbf3RMNOl",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenShelby",".@POTUS' plan to close Guantanamo &amp; move radical terrorists onto U.S. soil is imprudent &amp; reckless: https://t.co/oHE2w1r5xP",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenThadCochran","Bipartisan prohibitions on transferring #GITMO terrorist detainees to the US won't be set aside any time soon. https://t.co/pdwuJ35tIX",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenThomTillis","The Obama admin's transfer of terrorists from #Gitmo to other countries has proven to be an unmitigated disaster. https://t.co/mPvoM2ncRJ",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",06:00:00,"R","SenToomey","The fact is @POTUS has signed multiple bills prohibiting the transfer of dangerous terrorists to U.S. soil. #Gitmo",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",15:30:10,"R","RepJBridenstine","Obama wants to spend half-a-billion to violate a law he signed in December and bring terrorists into the U.S. #GITMO https://t.co/QvnjD79KAT","Before","GITMO",0.689,,"Before","General-Guantanamo",,1,0
"2/23/16",15:43:13,"R","VernBuchanan","Pentagon plan to close Gitmo is “dangerous, irresponsible and illegal.” 1 in 3 released detainees return to terror. https://t.co/ui6EcfzxyR",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",15:43:32,"R","RepJoeWilson",".@POTUS' dangerous proposal to close #Guantanamo and transfer terrorists to locations in the US, potentially South Carolina, is unlawful.","Before","Guantanamo",0.547,,"Before","General-Guantanamo",,1,0
"2/23/16",15:47:30,"R","RepJoeWilson","#Guantanamo holds the most dangerous terrorists.They should not be held at the Charleston Naval Brig—next to schools, neighborhoods, &amp;ports.",,,,,"Before","General-Guantanamo",,1,0
"2/23/16",15:48:46,"R","DesJarlaisTN04","We should not be giving terrorists the same due process afforded to American citizens. #Gitmo
#Guantanamo @FoxNews https://t.co/Dx88kZtO2d","Before","Gitmo Guantanamo",0.594,,"Before","General-Guantanamo",,1,0
"2/23/16",16:00:56,"R","RepJoeWilson","I've visited #Guantanamo. That is where we should house these terrorists--not a domestic location near our schools and homes.","Before","Guantanamo",0.547,,"Before","General-Guantanamo",,1,0
"2/23/16",16:08:54,"R","RepWalorski","Closing #GITMO &amp; putting terrorists on American soil is one of the worst ideas a president could propose.","Before","GITMO",0.448,,"Before","General-Guantanamo",,1,0
