Date,Time,R_or_D,screen_name,text,Before_or_After,hashtags,Nominate_dim1,total_victims,Before_or_After_Shooting,case,race,mentions_terror,Shooting_related_terrorism
6/13/16,19:14:31,R,RepStevePearce,"My thoughts and prayers continue to be with victims, families, and city of Orlando - we will not let terrorism win",After,,0.47,,After,Inside,Other,1,1
6/13/16,19:51:23,R,RepLoBiondo,In Washington for intelligence briefing on horrific anti-LGBT terror attack in Orlando. On @WPG1450 Tues 7am taking #SouthJersey calls,After,SouthJersey,0.211,,After,Inside,Other,1,1
6/13/16,20:04:25,D,NitaLowey,Our hearts &amp; prayers are w/ all those affected by Orlando attack &amp; w/ LGBTQ community. We must stand against hate &amp; terror #orlandounited,After,orlandounited,-0.388,,After,Inside,Other,1,1
6/13/16,20:17:28,R,RepTomGraves,Flags are at half-staff in honor of the #Orlando terrorist attack victims. Please pray for the victims &amp; families. https://t.co/ryyTeodOwQ,After,Orlando,0.753,,After,Inside,Other,1,1
6/13/16,20:54:31,R,RepEdRoyce,We need to defeat the terrorists and prevail in the war against radical Islamic extremism: https://t.co/VIwfk1wkrq,After,,0.661,,After,Inside,Other,1,1
6/13/16,20:55:06,D,NitaLowey,"In addition to fighting ISIS terror, we must stop gun violence to prevent another heinous attack like Orlando. #orlandounited",After,orlandounited,-0.388,,After,Inside,Other,1,1
6/13/16,21:18:50,R,RepWesterman,I grieve for the families of those lost and for those injured in Sunday's terrorist attack. #PrayforOrlando https://t.co/MUlodr8ljq,After,PrayforOrlando,0.54,,After,Inside,Other,1,1
6/13/16,21:47:21,R,RepTomReed,My statement on the horrific terror attack in Orlando: https://t.co/Ps433ipif1 https://t.co/L4tiYGlOCq,After,,0.295,,After,Inside,Other,1,1
6/18/15,13:56:39,R,RepBradWenstrup,Heartbroken over the heinous act of terror committed on a Charleston congregation last night. May justice come swiftly to the perpetrator.,After,,0.576,,After,Inside,White,1,1
6/5/13,19:40:57,R,RepJoeWilson,Victims of #FortHood &amp; #LittleRock shootings should receive #PurpleHeart. Lives taken by terrorists deserve honor &amp; recognition #FY14NDAA,Before,FortHood LittleRock PurpleHeart FY14NDAA,0.547,,Before,Inside,Latino,1,1
6/7/13,12:58:50,R,petehoekstra,Lost another tool in war on terrorists!  Leaks really do hurt our national security!,After,,0.516,9,After,Inside,Other,1,0
7/15/16,13:17:55,D,RepStephenLynch,Thanks to our witnesses for dedicated public service in the wake of the devastating terrorist attack and mass shooting at Pulse Nightclub,Before,,-0.352,,Before,Inside,Other,1,1
7/15/16,13:18:30,D,RepStephenLynch,The purpose of the Urban Area Security Initiative is to assist cities in their anti-terrorism preparedness and response efforts.,Before,,-0.352,,Before,Inside,Other,1,1
7/15/16,13:21:42,D,RepStephenLynch,"Given importance of these grants to anti-terrorism preparedness &amp;response, it's imperative we conduct meaningful oversight of the program",Before,,-0.352,,Before,Inside,Other,1,1
7/15/16,13:24:33,D,RepStephenLynch,"For an area that experienced terrorist attack by shooter who pledged allegiance to Islamic State, lack of assistance merits re-examination.",Before,,-0.352,,Before,Inside,Other,1,1
7/16/15,22:48:55,D,RepAdamSchiff,I received preliminary briefing. It's too early to determine whether gunman had connection to foreign terrorist org such as ISIS or Al Qaeda,After,,-0.348,7,After,Inside,Other,1,0
7/17/15,0:54:35,R,RepSamGraves,My thoughts and prayers are with the families of the four Marines lost in the terrorist attack today in Chattanooga.,After,,0.432,,After,Inside,Other,1,1
7/17/15,2:46:52,R,RepLouBarletta,Evil on display in #Chattanooga in act of domestic terrorism.  We grieve loss of 4 Marines. Pray for the survivors. http://t.co/IyAEiirPnZ,After,Chattanooga,0.277,,After,Inside,Other,1,1
7/17/15,13:46:45,R,SteveKingIA,"Finally! Moderate Muslims come to the streets of TN to show the face of the ""Religion of Peace"" to protest terrorism! http://t.co/4khcU0J8Se",After,,0.618,,After,Inside,Other,1,1
7/17/15,22:12:25,R,DevinNunes,"Dangerous times, from Tennessee to Tehran. My thoughts on current terror threats here: http://t.co/kc8ipv8xwP http://t.co/JBqR7bDbhG",After,,0.448,,After,Inside,Other,1,1
7/24/13,14:59:27,R,TomRooney,Video: Blocking Pay for #FtHood terrorist http://t.co/VAMUuXUVQF,Before,FtHood,0.459,,Before,Inside,Latino,1,1
9/24/16,22:00:00,R,RepJasonSmith,"At a time when our country is under a constant threat of terrorism, more must be done to protect our security: https://t.co/3PDLtxLd4r",After,,0.611,,After,Inside,Other,1,1
