Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
7/17/15,17:44:24,D,After,RepKathleenRice,Visited the Armed Forces Career Ctr in Hempstead to offer my support &amp; discuss the tragic shootings in #Chattanooga http://t.co/URDUCMjOyk,Chattanooga,-0.294,Other,0
6/18/15,13:42:10,D,After,RepKathleenRice,Horrified by the tragic shooting in Charleston. Praying for the victims &amp; the Emanuel AME Church community. -kr #PrayersForCharleston,PrayersForCharleston,-0.294,White,0
6/12/16,16:30:48,D,After,RepGregoryMeeks,My thoughts &amp; prayers are w/ the victims of Orlando's tragic mass shooting. We must end hate crimes and gun violence #NotOneMore #LoveIsLove,NotOneMore LoveIsLove,-0.413,Other,0
6/18/15,13:44:21,D,After,RepGregoryMeeks,"Devastated by the news of the #CharlestonShooting, a senseless hate crime which lead to the tragic death of 9 people.",CharlestonShooting,-0.413,White,0
9/17/13,1:03:01,D,After,RepGregoryMeeks,It's a sad day in America to witness yet another tragedy where innocent people are killed by senseless gun violence.,,-0.413,Black,0
9/7/11,18:46:45,D,After,carolynmccarthy,High-capacity magazines were used in the tragic shooting spree in NV.  Something can be done: www.supporthr308.com,,-0.294,Latino,0
8/6/12,20:53:25,D,After,RepGaryAckerman,"Our hearts go out to the residents of Oak Creek, Wisconsin. We send our thoughts and prayers to all those impacted by this horrible tragedy.",,-0.429,White,0
7/20/12,15:11:35,D,After,RepGaryAckerman,Terrible tragedy in Colorado. We send our thoughts &amp; prayers 2 the citizens of #Aurora &amp; 2 those who lost loved 1s in this senseless crime.,Aurora,-0.429,White,0
4/4/14,17:54:34,D,After,RepSteveIsrael,The tragedy at #FortHood shows the critical need to invest in mental health services for our #veterans (1/2),FortHood veterans,-0.334,Latino,0
9/16/13,19:49:13,D,After,TimBishopNY,"My thoughts and prayers are with all those affected by the tragedy at the Navy Yard in Washington, DC today.",,-0.334,Black,0
6/13/16,16:49:38,D,After,RepDavidEPrice,"To stand in solidarity w/ the victims and the LGBT community, we must adopt common-sense gun reforms to help prevent the next tragedy (2/3)",,-0.342,Other,0
10/1/15,22:10:57,D,After,RepBonamici,My statement on the tragedy at Umpqua Community College https://t.co/LMoOauDJRk,,-0.397,White,0
8/5/12,22:33:15,D,After,RepBonamici,The tragic shooting in Wisconsin deeply saddens me. My thoughts &amp; prayers are with the families &amp; victims of this act of senseless violence.,,-0.397,White,0
10/1/15,18:58:00,D,After,RepSchrader,The hearts of all Oregonians go out to their families and the Roseburg community coping with this tragedy.,,-0.192,White,0
10/1/15,18:42:20,D,After,RepSchrader,My thoughts and prayers are with all the victims and families of the horrible tragedy at Umpqua Community College.,,-0.192,White,0
7/20/12,13:41:55,D,After,RepSchrader,"My heart goes out to the victims, their families and all Coloradans today following the awful tragedy in Aurora.",,-0.192,White,0
10/1/15,19:17:08,D,After,RepPeterDeFazio,My thoughts and prayers are with the victims of today's tragic shooting in Roseburg: https://t.co/O4lF8YcnVy,,-0.429,White,0
10/1/15,19:28:27,D,After,repblumenauer,Stunned by reports of a shooting in my home state of OR. My thoughts &amp; prayers are w/ UCC as we struggle to cope w/ this tragedy.,,-0.428,White,0
6/18/15,21:53:39,D,After,repblumenauer,My thoughts are w/ the families &amp; victims of the #CharlestonShooting &amp; the community as it begins to heal from this senseless act of tragedy,CharlestonShooting,-0.428,White,0
12/14/12,23:12:45,D,After,repblumenauer,"Tragic week of gun violence. While we honor the victims, we must not allow ourselves to be bullied into accepting this as the status quo.",,-0.428,White,0
11/6/09,0:25:20,D,After,JoeSestak,Calling in to KDKA 1020 Radio at 7:30 PM to talk about the Fort Hood tragedy. Listen live: http://bit.ly/3BKrTB #sestak,sestak,-0.271,Other,0
11/5/09,22:44:13,D,After,JoeSestak,Joining Ed Schultz around 6:10pm on MSNBC to discuss the tragedy in Texas. #sestak,sestak,-0.271,Other,0
6/18/15,15:45:39,D,After,Clyburn,I am proud of how the Charleston police department and other officials responded to this tragedy. #EmmanuelAME,EmmanuelAME,-0.465,White,0
9/17/13,18:57:34,D,After,repjimcooper,"I hope you will join with me in praying for the victims, first responders and families affected by yesterday’s tragedy in Washington.",,-0.161,Black,0
7/8/16,22:34:37,D,After,RepVeasey,Joining @MSNBC now to discuss how we can support the DFW Metroplex during this tragic time #DallasStrong https://t.co/x2IhaOPWvo,DallasStrong,-0.4,Black,0
7/8/16,11:48:23,D,After,RepVeasey,My thoughts &amp; prayers remain w/ the victims of last night's tragic shooting. We must remember violence never solves violence #DallasStrong,DallasStrong,-0.4,Black,0
6/12/16,13:10:32,D,After,RepVeasey,Woke up to the horrible news in #Orlando. My thoughts &amp; prayers go out to the individuals and families affected by the tragedy.,Orlando,-0.4,Other,0
12/2/15,21:38:26,D,After,RepVeasey,My thoughts &amp; prayers are with the #SanBernandino community as the tragic events in southern CA unfold.,SanBernandino,-0.4,Other,0
10/2/15,15:24:41,D,After,RepVeasey,Our thoughts &amp; prayers remain with the families affected by yesterday's tragic shooting at Oregon's Umpqua Community College.,,-0.4,White,0
7/20/12,13:56:41,D,After,TX20CharlieG,"My thoughts and prayers are with the victims and family members of the horrific and tragic shooting in Aurora, Colorado.",,-0.347,White,0
1/9/11,0:33:14,D,After,SilvestreReyes,"Carolina and I are praying for Gabby, her staff, and all those affected by today's tragedy. http://fb.me/P3042IDu",,-0.321,White,0
4/3/14,15:39:56,D,After,USRepRHinojosa,Our thoughts and prayers are with the families affected by this tragic and violent act and also with the entire... http://t.co/blWabBwlta,,-0.34,Latino,0
7/8/16,18:19:46,D,After,RepAlGreen,The horrific attack on peace officers in Dallas is an unthinkable tragedy: https://t.co/oaNiftujVz,,-0.436,Black,0
6/13/16,12:50:51,D,After,RepAlGreen,Yesterday’s unthinkable and senseless tragedy in Orlando should serve as a stark reminder of the need to respect LGBTQ Equality.,,-0.436,Other,0
