Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Mazie Hirono,Hawaii,D,S,2013-present,9-Nov,@maziehirono,NA,5043
Mike Crapo,Idaho,R,S,1999-present,12-Jun,@MikeCrapo,NA,5585
Dick Durbin,Illinois,D,S,1997-present,11-Feb,SenatorDurbin,NA,11.5k
Barack Obama,Illinois,D,S,2007-2008,7-Mar,@BarackObama,NA,15.5k
Dan Coats,Indiana,R,S,2011-2017,10-Nov,@SenDanCoats,NA,5132
Chuck Grassley,Iowa,R,S,1981-present,7-Nov,@ChuckGrassley,NA,6698
Pat Roberts,Kansas,R,S,1997-present,9-Sep,@SenPatRoberts,NA,5638
Rand Paul,Kentucky,R,S,2011-present,10-Nov,@RandPaul,NA,12.2k
David Vitter,Louisiana,R,S,2005-2017,9-Jan,@DavidVitter,NA,8402
Angus King,Maine,Ind,S,2013-present,13-Jan,@SenAngusKing,NA,3422
Ben Cardin,Maryland,D,S,2007-present,10-Jan,@SenatorCardin,NA,9462
Barbara Mikulski,Maryland,D,S,1987-2017,10-Apr,@SenatorBarb,NA,4651
Paul G. Kirk,Massachusetts,D,S,sep 2009-feb 2010,NA,NA,NA,6587
Scott Brown,Massachusetts,R,S,2010-2013,9-Mar,@SenScottBrown,NA,5538
Elizabeth Warren,Massachusetts,D,S,2013-present,12-Nov,@SenWarren,NA,3160
Gary Peters,Michigan,D,S,2015-present,11-Jan,@SenGaryPeters,NA,4926
Amy Klobuchar,Minnesota,D,S,2007-present,9-Apr,@amyklobuchar,NA,7040
