Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
Bill Cassidy,Louisiana,R,H,2006-2015,9-Jul,ALREADY IN THE SENATE,,5141
Cedric Richmond,Louisiana,D,H,2000-present,11-Mar,@RepRichmond,,
Jeff Landry,Louisiana,R,H,2011-2013,10-Nov,@AGJeffLandry,,3165
Vance McAllister,Louisiana,R,H,2013-2015,NA,NOT VERIFIED,,
Ralph Abraham,Louisiana,R,H,2015-Present,15-Jan,@RepAbraham,,
Garret Graves,Louisiana,R,H,2015-Present,14-Dec,@RepGarretGraves,,
Tom Allen,Maine,D,H,1997-2009,NA,NA,,
Mike Michaud,Maine,D ,H,1980-2015,9-Feb,@MikeHMichaud,,
Chellie Pingree,Maine,D,H,2009-Present,8-Jun,@chelliepingree,,3586
Bruce Poliquin,Maine,R,H,2015-Present,14-Dec,@RepPoliquin,,
Wayne Gilchrest,Maryland,R,H,1991-2009,NA,NA,,
Ducth Ruppersberger,Maryland,D,H,2003-Present,11-May,@Call_Me_Dutch,,
John Sarbanes,Maryland,D ,H,2007-present,11-Aug,@RepSarbanes,,
Albert Wynn,Maryland,D,H,1993-2008,NA,NA,,
Steny Hoyer,Maryland,D,H,1981-Present,9-Feb,@WhipHoyer,,15.3k
Roscoe Barlett,Maryland,R,H,1993-2013,NA,NA,,
Elijah Cummings,Maryland,D,H,1996-Present,12-Aug,@RepCummings,,5767
Chris Van Hollen,Maryland,D,H,2009-2011,8-Dec,ALREADY IN THE SENATE,,3665
Andy Harris,Maryland,R,H,1998-Present,12-Nov,@RepAndyHarrisMD,,
Donna Edwards,Maryland,D,H,2008-2017,9-Oct,@repdonnaedwards,,6393
John Delaney,Maryland,D,H,2013-Present,12-Nov,@RepJohnDelaney,,5385
Frank Kratovil,Maryland,D ,H,2009-2011,NA,NA,,
John Olver,Massachusetts,D ,H,1991-2013,NA,NA,,
Richard Neal,Massachusetts,D,H,1989-Present,11-Dec,@RepRichardNeal,,
Jim McGroven,Massachusetts,D,H,1997-present,11-Jan,@RepMcGovern,,8146
Barney Frank,Massachusetts,D,H,1981-Jan 2013,13-Jul,@RepMcGovern,,
Marty Meehan,Massachusetts,D,H,1993-2007,AFTER HE LEFT OFFICE,,,
Niki Tsongas,Massachusetts,D,H,2007-present,11-Jan,@nikiinthehouse,,6285
John Tierney,Massachusetts,D,H,1997-2015,11-Oct,@RepTierney,,
